zip,area,notes
# Ultra-prime US ZIP codes (HNWI signal). Matched against the billing ZIP.
# US ZIPs are 5 digits, so this is a separate signal from the UK postcode list.
# ZIP+4 (e.g. 90210-1234) is reduced to the 5-digit prefix before matching.
# EDIT THIS FILE to add more. Lines starting with # are ignored.
# --- Mountain West / PNW / Southwest / Texas / Midwest / NE (added) ---
44022,OH,325835
44040,OH,403833
45174,OH,344490
45208,OH,263481
45243,OH,460791
48009,MI,382686
48025,MI,273702
48226,MI,284972
48301,MI,338370
48302,MI,337669
48304,MI,347558
49116,MI,274957
49301,MI,261061
53125,WI,259956
55331,MN,311393
55356,MN,365786
55391,MN,439377
55402,MN,751394
55424,MN,428202
55436,MN,266598
57038,SD,311524
57049,SD,252681
60010,IL,287187
60015,IL,286009
60022,Glencoe IL,751771
60035,IL,349832
60043,Kenilworth IL,1203980
60044,IL,270073
60045,IL,656978
60091,IL,356217
60093,Winnetka IL,655524
60184,IL,344251
60305,IL,289547
60514,IL,264004
60521,IL,514033
60523,IL,371989
60558,IL,300033
60601,IL,293232
60602,IL,310084
60603,IL,556994
60604,IL,489137
60606,IL,662009
60611,IL,344608
60614,IL,300277
63005,MO,315912
63105,MO,608349
63124,Ladue (St. Louis) MO,578949
63127,MO,256592
63131,MO,401481
64113,MO,255132
66206,KS,280978
66211,KS,370456
66224,KS,334090
68069,NE,277928
68520,NE,333064
72201,AR,263138
72712,AR,408033
73116,OK,285880
73151,OK,253712
74119,OK,257219
75022,TX,275827
75201,TX,423349
75205,Highland Park (Dallas) TX,728182
75209,TX,406095
75220,TX,296508
75225,University Park (Dallas) TX,822555
75229,TX,279163
75230,TX,418845
76034,TX,366388
76092,TX,446173
76102,TX,363352
76109,TX,278711
76262,Westlake TX,
77002,TX,300784
77005,TX,569078
77010,TX,414529
77019,River Oaks (Houston) TX,559843
77024,TX,677847
77027,TX,294675
77046,TX,267421
77056,TX,419755
77098,TX,301235
77401,TX,443752
78116,TX,444767
78117,TX,256552
78619,TX,251138
78701,TX,507167
78703,TX,591767
78730,TX,326367
78731,TX,295574
78732,TX,312848
78733,TX,433046
78735,TX,321955
78738,TX,338286
78746,TX,987320
79713,TX,297848
80113,CO,313925
80121,CO,268233
81611,Aspen CO,391214
81615,Snowmass Village CO,
81656,Woody Creek CO,
83001,WY,537862
83002,WY,305258
83014,Wilson / Jackson Hole WY,860854
83025,Teton Village WY,960855
83340,ID,346281
83414,WY,331727
84004,UT,269369
84060,UT,434167
84098,UT,349500
85253,Paradise Valley AZ,815024
85255,AZ,335369
85262,AZ,418026
85266,AZ,295937
89109,NV,349888
89135,NV,385130
89413,Glenbrook NV,1087235
89451,NV,723191
89511,NV,284958
89519,NV,289937
90024,CA,455704
90049,Brentwood CA,467962
90064,CA,333298
90067,CA,1267630
90069,CA,273379
90077,Bel Air CA,599101
90210,Beverly Hills CA,664872
90211,CA,425034
90212,CA,545329
90254,CA,273051
90265,Malibu CA,378973
90266,CA,420034
90272,CA,706989
90274,CA,397887
90401,CA,273770
90402,Santa Monica CA,665115
91008,CA,699143
91011,CA,362889
91105,CA,316749
91108,CA,369276
91302,CA,341440
91361,CA,316618
91436,CA,646357
92014,CA,377371
92037,CA,340469
92067,Rancho Santa Fe CA,
92075,CA,254516
92091,CA,437338
92130,CA,280286
92210,CA,275406
92603,CA,317226
92625,CA,622802
92651,CA,359707
92657,CA,619174
92660,CA,380740
92661,CA,394758
92662,CA,283815
92663,CA,293867
92861,CA,326423
93108,Montecito CA,763416
93923,CA,264938
93953,CA,467213
94002,CA,282570
94010,CA,517004
94022,Los Altos Hills CA,839579
94024,CA,611575
94025,CA,457225
94027,Atherton CA,1587518
94028,CA,980737
94040,CA,258604
94041,CA,276436
94062,CA,532753
94065,CA,293177
94070,CA,327331
94087,CA,269221
94104,CA,900235
94105,CA,379746
94111,CA,549276
94114,CA,349156
94115,CA,332801
94118,CA,348031
94123,CA,415278
94127,CA,282526
94129,CA,544131
94131,CA,275091
94301,Palo Alto CA,1641172
94304,CA,1603575
94306,CA,370171
94402,CA,343596
94506,CA,347349
94507,CA,456387
94526,CA,282229
94539,CA,284097
94549,CA,380383
94556,CA,296580
94563,CA,458661
94566,CA,263369
94574,CA,330905
94583,CA,273286
94611,CA,290670
94618,CA,304896
94705,CA,376219
94707,CA,277720
94708,CA,265495
94904,CA,427182
94920,CA,865678
94925,CA,282569
94939,CA,337440
94941,CA,371880
94946,CA,254223
94957,Ross CA,
94960,CA,264802
95014,CA,321258
95030,CA,595787
95032,CA,518785
95033,CA,284395
95070,CA,496923
95120,CA,311495
95138,CA,264546
95606,CA,416223
97034,OR,270475
97204,OR,376618
98004,WA,392844
98033,WA,308328
98039,Medina WA,1191705
98040,WA,408312
98053,WA,260638
98074,WA,295994
98075,WA,304392
98077,WA,265759
98112,WA,347696
