zip,area,value,tier
# US high-value home-area ZIPs (Zillow ZHVI). Regenerate with scripts/build_us_property.py.
# Lines starting with # are ignored. Tier: ultra (>= $2M) / prime (>= $1M) latest ZHVI.
08739,Lavallette NJ,1750910,prime
08750,Sea Girt NJ,2500930,ultra
10001,New York NY,1726291,prime
10003,New York NY,1358755,prime
10004,New York NY,1221237,prime
10005,New York NY,1112885,prime
10006,New York NY,1045673,prime
10007,New York NY,3146950,ultra
10010,New York NY,1263174,prime
10011,New York NY,1597125,prime
10012,New York NY,2778304,ultra
10013,New York NY,3657015,ultra
10014,New York NY,1766161,prime
10018,New York NY,1340285,prime
10019,New York NY,1221421,prime
10021,New York NY,1403772,prime
10022,New York NY,1114162,prime
10023,New York NY,1408851,prime
10024,New York NY,1564253,prime
10025,New York NY,1090952,prime
10028,New York NY,1430531,prime
10065,New York NY,1644205,prime
10069,New York NY,1923395,prime
10075,New York NY,1173974,prime
10128,New York NY,1173356,prime
10282,New York NY,2154259,ultra
10502,Ardsley NY,1038372,prime
10504,Armonk NY,1703011,prime
10505,Baldwin Place NY,1044855,prime
10506,Bedford NY,1609969,prime
10510,Briarcliff Manor NY,1144839,prime
10514,Chappaqua NY,1514576,prime
10522,Dobbs Ferry NY,1003142,prime
10528,Harrison NY,1457654,prime
10533,Irvington NY,1266308,prime
10536,Katonah NY,1106744,prime
10538,Larchmont NY,1731034,prime
10543,Mamaroneck NY,1063055,prime
10570,Pleasantville NY,1034539,prime
10576,Pound Ridge NY,1448598,prime
10577,Purchase NY,2228365,ultra
10580,Rye NY,2284781,ultra
10583,Scarsdale NY,1550904,prime
10597,Waccabuc NY,1619920,prime
10706,Hastings on Hudson NY,1132500,prime
10709,Eastchester NY,1018609,prime
10803,Pelham NY,1404507,prime
10804,New Rochelle NY,1241616,prime
10952,Monsey NY,1145077,prime
10987,Tuxedo Park NY,1306977,prime
11020,Great Neck NY,1626006,prime
11021,Great Neck NY,1095585,prime
11023,Great Neck NY,1517335,prime
11024,Great Neck NY,2369851,ultra
11030,Manhasset NY,2274074,ultra
11050,Port Washington NY,1327149,prime
11101,New York NY,1144795,prime
11103,New York NY,1038305,prime
11105,New York NY,1135943,prime
11201,New York NY,1354347,prime
11204,New York NY,1236762,prime
11205,New York NY,1053000,prime
11206,New York NY,1113262,prime
11211,New York NY,1377791,prime
11213,New York NY,1118840,prime
11215,New York NY,1475197,prime
11216,New York NY,1243727,prime
11217,New York NY,1565121,prime
11219,New York NY,1228560,prime
11221,New York NY,1099243,prime
11222,New York NY,1507639,prime
11223,New York NY,1072605,prime
11225,New York NY,1144484,prime
11228,New York NY,1198706,prime
11231,New York NY,1762363,prime
11233,New York NY,1018430,prime
11237,New York NY,1093183,prime
11238,New York NY,1240541,prime
11249,New York NY,1492156,prime
11358,New York NY,1069011,prime
11363,New York NY,1110140,prime
11365,New York NY,1007858,prime
11366,New York NY,1138471,prime
11507,Albertson NY,1090315,prime
11509,Atlantic Beach NY,1509471,prime
11516,Cedarhurst NY,1232442,prime
11530,Garden City NY,1323631,prime
11545,Glen Head NY,1585114,prime
11548,Greenvale NY,1126343,prime
11557,Hewlett NY,1008203,prime
11559,Lawrence NY,2208254,ultra
11560,Locust Valley NY,1255320,prime
11568,Old Westbury NY,3015567,ultra
11569,Point Lookout NY,1410609,prime
11576,Roslyn NY,1737698,prime
11577,East Hills NY,1396912,prime
11579,Sea Cliff NY,1129157,prime
11596,Williston Park NY,1026993,prime
11598,Woodmere NY,1373939,prime
11724,Cold Spring Harbor NY,1764720,prime
11732,East Norwich NY,1015748,prime
11739,Great River NY,1123997,prime
11753,Jericho NY,1303730,prime
11765,Mill Neck NY,2613947,ultra
11770,NY,1446619,prime
11771,Oyster Bay NY,1326520,prime
11791,Syosset NY,1197638,prime
11797,Woodbury NY,1526451,prime
11804,Old Bethpage NY,1020745,prime
11930,Amagansett NY,3285422,ultra
11932,Bridgehampton NY,4676499,ultra
11935,Cutchogue NY,1201741,prime
11937,East Hampton NY,2009992,ultra
11939,NY,1184568,prime
11942,East Quogue NY,1170985,prime
11948,Laurel NY,1011913,prime
11954,Montauk NY,1983623,prime
11957,NY,1521693,prime
11958,Peconic NY,1224910,prime
11959,Quogue NY,2877003,ultra
11960,Remsenburg NY,1811395,prime
11962,Sagaponack NY,6520357,ultra
11963,Sag Harbor NY,2355854,ultra
11964,Shelter Island NY,1774434,prime
11965,Shelter Island NY,2060979,ultra
11968,Southampton NY,2211251,ultra
11971,Southold NY,1116612,prime
11975,Wainscott NY,3226512,ultra
11976,Water Mill NY,4989089,ultra
11977,Westhampton NY,1398171,prime
11978,Westhampton Beach NY,1643802,prime
12820,Queensbury NY,1786111,prime
12844,Katskill Bay NY,1692750,prime
12874,Silver Bay NY,1010127,prime
18913,Carversville PA,1187632,prime
18933,Lumberville PA,1010562,prime
19035,Gladwyne PA,1598976,prime
19041,Haverford PA,1156350,prime
19066,Merion Station PA,1127675,prime
19085,Villanova PA,1599006,prime
19437,Gwynedd Valley PA,1131410,prime
19807,Wilmington DE,1102763,prime
19944,DE,1201148,prime
20007,Washington DC,1281618,prime
20015,Washington DC,1391470,prime
20016,Washington DC,1118787,prime
20105,Aldie VA,1107626,prime
20117,Middleburg VA,1199048,prime
20124,Clifton VA,1028295,prime
20129,Waterford VA,1288909,prime
20143,Catharpin VA,1109255,prime
20184,Upperville VA,1222575,prime
20197,Waterford VA,1315810,prime
20759,Fulton MD,1007196,prime
20777,Highland MD,1004247,prime
20812,Glen Echo MD,1336970,prime
20815,Chevy Chase MD,1192611,prime
20816,Bethesda MD,1321069,prime
20817,Bethesda MD,1325214,prime
20818,Cabin John MD,1273323,prime
20854,Potomac MD,1308353,prime
20896,Garrett Park MD,1089204,prime
21029,Clarksville MD,1067097,prime
21036,Dayton MD,1028560,prime
21056,Pasadena MD,3021437,ultra
21153,Pikesville MD,1101701,prime
21405,Annapolis MD,1551905,prime
21662,Royal Oak MD,1106750,prime
21737,Glenwood MD,1211739,prime
21738,Glenwood MD,1001817,prime
21794,West Friendship MD,1045462,prime
22027,Dunn Loring VA,1319866,prime
22039,VA,1197963,prime
22046,Falls Church VA,1068018,prime
22066,Great Falls VA,1707621,prime
22101,McLean VA,1701130,prime
22124,Oakton VA,1101492,prime
22180,Vienna VA,1083011,prime
22181,Vienna VA,1134825,prime
22182,Vienna VA,1288904,prime
22205,Arlington VA,1224209,prime
22207,Arlington VA,1403090,prime
22213,Arlington VA,1106549,prime
22301,Alexandria VA,1082412,prime
27608,Raleigh NC,1047377,prime
28207,Charlotte NC,1650584,prime
28480,Wrightsville Beach NC,1691907,prime
28646,Linville NC,1362847,prime
28717,Cashiers NC,1564467,prime
28741,Highlands NC,1064322,prime
29401,Charleston SC,1511945,prime
29439,Folly Beach SC,1102568,prime
29451,Isle of Palms SC,1657689,prime
29482,Sullivans Island SC,4278319,ultra
29685,Sunset SC,1376795,prime
29941,Sheldon SC,2388653,ultra
30327,Atlanta GA,1537587,prime
31561,GA,4417477,ultra
32461,Inlet Beach FL,1381831,prime
32963,Indian River Shores FL,1042587,prime
33036,FL,1242209,prime
33037,Key Largo FL,1096981,prime
33042,FL,1029586,prime
33109,Miami Beach FL,6477483,ultra
33122,Miami FL,1506106,prime
33133,Miami FL,1316537,prime
33146,Coral Gables FL,1898580,prime
33149,Key Biscayne FL,1672309,prime
33154,Bal Harbour FL,1216350,prime
33156,Pinecrest FL,1528232,prime
33158,Village of Palmetto Bay FL,1384307,prime
33330,Southwest Ranches FL,1109846,prime
33332,Weston FL,1028034,prime
33432,Boca Raton FL,1064095,prime
33480,Palm Beach FL,1498027,prime
33483,Delray Beach FL,1014402,prime
33496,Boca Raton FL,1020346,prime
33629,Tampa FL,1026072,prime
33921,FL,2280451,ultra
33924,FL,1059120,prime
34102,Naples FL,1309977,prime
34103,Naples FL,1120321,prime
34108,Naples FL,1004393,prime
34216,FL,1850294,prime
34236,Sarasota FL,1020779,prime
